gender,age,resident_type,cyber_awareness,password_strength,antivirus,socialmedia,occupation,internet_usage,cybercrime_victim,crime,found_solution,reported_crime,not_repoted_reason
F,BELOW 10,CITY,YES,STRONG,YES,YES,STUDENT,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
M,BETWEEN 21-30,VILLAGE,NO,WEAK,NO,NO,STUDENT,2-3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,BETWEEN 21-30,CITY,NO,STRONG,YES,YES,SELF EMPLOYED,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,BETWEEN 31-40,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
F,BETWEEN 41-50,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
F,BETWEEN 51-60,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,ABOVE 61,CITY,YES,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,NO,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PHISHING,YES,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,NO,YES,WAS AFRAID
F,BELOW 10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,YES,YES,WAS AFRAID
